municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-03 19:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-03 20:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-03 21:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-03 22:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-03 23:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 00:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 01:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 02:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 03:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 04:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 05:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 06:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 07:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 08:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 09:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 10:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 11:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 12:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 13:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 14:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 15:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 16:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 17:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 18:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 19:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 20:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 21:00:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990401A;SP;Rio comprido;-45,941;-23,256;2021-03-04 22:00:00.0;0,00;
